consumer_id,gas_type_id,consumer_name,consumer_type,consumption_value,priority,unit
BFG-CON-INT-001,BFG,Furnace I,Internal,194000.0,1,Nm³/hr
BFG-CON-INT-002,BFG,Furnace H,Internal,115000.0,2,Nm³/hr
BFG-CON-INT-003,BFG,Furnace G,Internal,90000.0,3,Nm³/hr
BFG-CON-INT-004,BFG,Furnace F,Internal,80000.0,4,Nm³/hr
BFG-CON-INT-005,BFG,Furnace E,Internal,25000.0,5,Nm³/hr
BFG-CON-INT-006,BFG,Furnace C,Internal,32000.0,6,Nm³/hr
BFG-CON-EXT-001,BFG,HSM Mill,External,75000.0,11,Nm³/hr
BFG-CON-EXT-002,BFG,Pellet Plant,External,60000.0,12,Nm³/hr
BFG-CON-EXT-003,BFG,TSCR,External,10000.0,13,Nm³/hr
BFG-CON-EXT-004,BFG,LCP,External,15000.0,14,Nm³/hr
BFG-CON-EXT-005,BFG,Coke Plant,External,270000.0,15,Nm³/hr
BFG-CON-EXT-006,BFG,PH #3,External,190000.0,16,Nm³/hr
BFG-CON-EXT-007,BFG,PH #4,External,150000.0,17,Nm³/hr
BFG-CON-EXT-008,BFG,PH #5,External,130000.0,18,Nm³/hr
BFG-CON-EXT-009,BFG,PH #6,External,300000.0,19,Nm³/hr
COG-CON-EXT-001,COG,Mergemill (1-7),External,3000.0,1,Nm³/hr
COG-CON-EXT-002,COG,Mergemill (8-9),External,8000.0,2,Nm³/hr
COG-CON-EXT-003,COG,CRM (Cold Rolling Mill),External,7000.0,3,Nm³/hr
COG-CON-EXT-004,COG,MM (Merchant Mill),External,4000.0,4,Nm³/hr
COG-CON-EXT-005,COG,WRM,External,3000.0,5,Nm³/hr
COG-CON-EXT-006,COG,HSM,External,30000.0,6,Nm³/hr
COG-CON-EXT-007,COG,TsCR,External,8000.0,7,Nm³/hr
COG-CON-EXT-008,COG,SP (1-4),External,1200.0,8,Nm³/hr
COG-CON-EXT-009,COG,Pellet Plant,External,18000.0,9,Nm³/hr
COG-CON-EXT-010,COG,TPL,External,7000.0,10,Nm³/hr
COG-CON-EXT-011,COG,CAPL,External,6000.0,11,Nm³/hr
COG-CON-EXT-012,COG,Tube Divsn.,External,1500.0,12,Nm³/hr
COG-CON-EXT-013,COG,PH 3,External,1100.0,13,Nm³/hr
COG-CON-EXT-014,COG,PH 4,External,22000.0,14,Nm³/hr
COG-CON-EXT-015,COG,PH 5,External,2000.0,15,Nm³/hr
COG-CON-EXT-016,COG,PH 6,External,3000.0,16,Nm³/hr
COG-CON-EXT-017,COG,PH 7,External,5000.0,17,Nm³/hr
COG-CON-EXT-018,COG,BF Total (800 x 6),External,4800.0,18,Nm³/hr
