source_id,gas_type_id,source_name,plant_area,generation_value,unit,is_active,percentage_of_total
BFG-GEN-001,BFG,Furnace I,Blast Furnace,465000.0,Nm³/hr,True,27.02
BFG-GEN-002,BFG,Furnace H,Blast Furnace,450000.0,Nm³/hr,True,26.14
BFG-GEN-003,BFG,Furnace G,Blast Furnace,322000.0,Nm³/hr,True,18.71
BFG-GEN-004,BFG,Furnace F,Blast Furnace,240000.0,Nm³/hr,True,13.94
BFG-GEN-005,BFG,Furnace E,Blast Furnace,82200.0,Nm³/hr,True,4.78
BFG-GEN-006,BFG,Furnace C,Blast Furnace,162000.0,Nm³/hr,True,9.41
COG-GEN-001,COG,Old BPP,"Batt 8, Batt 9",62000.0,Nm³/hr,True,43.66
COG-GEN-002,COG,New BPP,"Batt 10, Batt 11",80000.0,Nm³/hr,True,56.34
LDG-GEN-001,LDG,LD-1 & LD-3,LD Converter,85000.0,Nm³/hr,True,56.67
LDG-GEN-002,LDG,LD-2,LD Converter,65000.0,Nm³/hr,True,43.33
